text,has_abbrev
can confirm he never gave us up,0
the best thing of my life is that i have the same birthday as rick astley,0
dude i found a qr code sticker and i got rickrolled,0
chatgpt gave me a code for yt and for example it gave this vid link looooollll,0
guys i got tricked but i got an ad before the video so i could have time to exit the best ad in history lowkey,0
never gonna give you up brnever gonna let you down,0
who is here after revisiting their past after searching for this song on youtube if you guys heard this version of this song consider yourselves oldies,0
there should be a bart baker parody of this song man i should be about rick astley being a creepy redhead just like ed sheeran,0
everyones talking about cbse but no ones talking about pointercrate demonlist,0
i just got rick rolled by my student,0
another best one,0
i put this url on an nfc card so whenever my phone case flips over the card is read and the phone plays this video it was funny at first but this is the 4th time it39s happened and the novelty is wearing off a bit just a bit,0
wtf is cbse,0
qr code on temu,0
brbrcantorebrbrbrtibrbenedicabrbrbriddiobrstesso brbrbrbrbrbr,0
uwielbiam to,0
a href,0
never call gd colon a furry,0
trying to get the enrollment code for duo mobile and get rick rolled,0
still think this is a banger,0
a href,0
i came from the gdcolon site,0
i39ve been pranked,0
nobody going to talk about the qr code,0
listening to this song in 2026 march and im going through a break up with the love of my life and believing that everything is going to be okay,0
i came back because i got quotrick rolledquot by tumblr in this the year of our lord 2026brbrbrbrwhat the kentucky fried freak,0
keep the rick live and rolling forever,0
sério abel,0
gyere mwmdome budapestresokan vàrunk,0
love you rick,0
pixelflow sent me here,0
who are scanned this from toilet 8,0
happy 16 years,0
wait this isnt free geometry dash pointercrate demon list points,0
sending it to someone,0
rick gun,0
mr donalt,0
who came from tiktok qr code video,0
whys this from 2016,0
i will like to everyone39s reply to this comment,0
2026 uuf,0
anybody in 2026,0
who also came from tiktok,0
i got rickrolled via my pixel flow game curiosity killed the cat i guess,1
cistiers,0
ayo wtf is that lol first time seeing this,0
onego i love you,0
a qr code toke me up here why,0
u39ve been rick rolled,0
how did i manage do rick roll myself,0
o bruno me trollou,0
a href,0
come on that link was a rick roll,0
im rickrolling my friend in 2026 still bahahahah i hope she doesnt see this she39ll kill me,0
i haven39t got rickrolled for a while,0
comment section of united students who are trolled by cbse,0
everyone got rick rolled in this video including me,0
no n pu uuo nbrqpoo s uuo nbr no uuo nbrno sp pu puno un uuo nbruop no uuo nbrdn no uuo n,0
quem é fã de 2016,0
fuck this shit im out,0
rick rool forever,0
that blonde girls is gorgeous i miss the old days,0
he never gave us up,0
wtf i was told this was the olympics rick rolled again smh,0
maldito qr que encontré un juego me trajo aca,1
one of best songs,0
i just scanded a temu qr code and it took me to this,0
good,0
i just got rick rolled then again then again then again then again then again,0
a href the best part the 398039s will always rule,0
2026,0
i just got here because of one small change of gd colon39s website,0
never gonna give you up never gonna let you down never gonna let you run around,0
bro just pranked 19 billon people,0
come on rws really,0
sent a rickroll to my dm lol,0
fantastic explanation thank you,0
lol i made a qr code for this,0
at0m oldumu imdi bu,0
adaln kitabndan gelenlerbrbr,0
india is not for beginners,0
i got rickrolled by wrong code,0
the ytp tadc 5 has bring me here,0
rick astley will return in avengers doomsday,0
reading a paper on pid controllers before uni lab extra section third video i was rickrolled by my university i am not even mad xd,0
rick astley gave motivation to work on my frankenstein laptop,0
wah cbse wah,0
lyricsbrwe39re no strangers to lovebryou know the rules and so do ibra full commitment39s what i39m thinking ofbryou wouldn39t get this from any other guybrbri just wanna tell you how i39m feelingbrgotta make you understandbrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt youbrbrwe39ve known each other for so longbryour heart39s been aching butbryou39re too shy to say itbrinside we both know what39s been going onbrwe know the game and we39re gonna play itbrbrand if you ask me how i39m feelingbrdon39t tell me you39re too blind to seebrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt youbrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt youbrbrooh give you upbrooh give you upbrnever gonna give never gonna givebrgive you upbrnever gonna give never gonna givebrgive you upbrbrwe39ve known each other for so longbryour heart39s been aching butbryou39re too shy to say itbrinside we both know what39s been going onbrwe know the game and we39re gonna play itbrbri just wanna tell you how i39m feelingbrgotta make you understandbrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt youbrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt youbrbrnever gonna give you upbrnever gonna let you downbrnever gonna run around and desert youbrnever gonna make you crybrnever gonna say goodbyebrnever gonna tell a lie and hurt you,0
you won39t believe this but gemma4 4b sent me this video when i asked her for something completely unrelated it knew the url xd,0
